id,event,price,pricePerSquareFoot,city,state,zipcode,parking,homeType,county
91605-2069586184,Listed for sale,274950,367,North Hollywood,CA,91605,1,CONDO,Los Angeles County
91605-20000583,Listed for sale,645000,548,North Hollywood,CA,91605,1,SINGLE_FAMILY,Los Angeles County
91605-19998959,Listed for sale,1200000,516,North Hollywood,CA,91605,1,SINGLE_FAMILY,Los Angeles County
91605-19997810,Listed for sale,650000,453,North Hollywood,CA,91605,1,SINGLE_FAMILY,Los Angeles County
91605-19996997,Listed for sale,749000,643,North Hollywood,CA,91605,1,SINGLE_FAMILY,Los Angeles County
91605-20002196,Listed for sale,749000,567,North Hollywood,CA,91605,1,SINGLE_FAMILY,Los Angeles County
91605-20000621,Listed for sale,1050000,729,North Hollywood,CA,91605,0,SINGLE_FAMILY,Los Angeles County
91605-20006480,Listed for sale,869999,459,North Hollywood,CA,91605,1,SINGLE_FAMILY,Los Angeles County
91605-20003751,Listed for sale,315000,474,North Hollywood,CA,91605,1,CONDO,Los Angeles County
91605-20002976,Listed for sale,879999,427,North Hollywood,CA,91605,1,SINGLE_FAMILY,Los Angeles County
91605-19998581,Listed for sale,720000,662,North Hollywood,CA,91605,1,SINGLE_FAMILY,Los Angeles County
91605-19997677,Listed for sale,985000,532,North Hollywood,CA,91605,0,SINGLE_FAMILY,Los Angeles County
91605-2119556230,Listed for sale,280000,373,North Hollywood,CA,91605,1,CONDO,Los Angeles County
91605-20002865,Listed for sale,699900,625,North Hollywood,CA,91605,0,SINGLE_FAMILY,Los Angeles County
91101-20866612,Listed for sale,1699000,768,Pasadena,CA,91101,1,MULTI_FAMILY,Los Angeles County
91030-20693101,Listed for sale,1275000,763,South Pasadena,CA,91030,1,SINGLE_FAMILY,Los Angeles County
91107-95613962,Listed for sale,699000,454,Pasadena,CA,91107,1,TOWNHOUSE,Los Angeles County
91106-20699256,Listed for sale,1695000,1016,Pasadena,CA,91106,1,SINGLE_FAMILY,Los Angeles County
91030-20694094,Listed for sale,2400000,632,South Pasadena,CA,91030,0,SINGLE_FAMILY,Los Angeles County
91107-20874604,Listed for sale,850000,900,Pasadena,CA,91107,1,SINGLE_FAMILY,Los Angeles County
91106-20869559,Listed for sale,1350000,478,Pasadena,CA,91106,1,SINGLE_FAMILY,Los Angeles County
91101-20867521,Listed for sale,1590000,682,Pasadena,CA,91101,0,SINGLE_FAMILY,Los Angeles County
91106-20699169,Listed for sale,1599999,800,Pasadena,CA,91106,1,SINGLE_FAMILY,Los Angeles County
91108-20701987,Listed for sale,3790000,1272,San Marino,CA,91108,1,SINGLE_FAMILY,Los Angeles County
91105-20860502,Listed for sale,1095000,552,Pasadena,CA,91105,1,CONDO,Los Angeles County
91106-89139179,Listed for sale,958000,494,Pasadena,CA,91106,1,TOWNHOUSE,Los Angeles County
91101-20862856,Listed for sale,859000,690,Pasadena,CA,91101,1,TOWNHOUSE,Los Angeles County
91103-20863892,Listed for sale,639888,640,Pasadena,CA,91103,1,SINGLE_FAMILY,Los Angeles County
91107-20874568,Listed for sale,949000,586,Pasadena,CA,91107,1,SINGLE_FAMILY,Los Angeles County
91106-79804082,Listed for sale,649000,532,Pasadena,CA,91106,1,CONDO,Los Angeles County
91106-2108829894,Listed for sale,3575000,0,Pasadena,CA,91106,1,MULTI_FAMILY,Los Angeles County
91106-20870252,Listed for sale,589000,935,Pasadena,CA,91106,1,SINGLE_FAMILY,Los Angeles County
91108-111915959,Listed for sale,2680000,1075,San Marino,CA,91108,1,SINGLE_FAMILY,Los Angeles County
90006-250333867,Listed for sale,1200000,0,Los Angeles,CA,90006,0,MULTI_FAMILY,Los Angeles County
90026-20742371,Listed for sale,1200000,1961,Los Angeles,CA,90026,0,SINGLE_FAMILY,Los Angeles County
90031-82883298,Listed for sale,1500000,257,Los Angeles,CA,90031,1,MULTI_FAMILY,Los Angeles County
90026-20739895,Listed for sale,1595000,763,Los Angeles,CA,90026,0,SINGLE_FAMILY,Los Angeles County
90006-2094476557,Listed for sale,1999000,0,los angeles,CA,90006,0,MULTI_FAMILY,Los Angeles County
90026-20626050,Listed for sale,1095000,0,Los Angeles,CA,90026,0,MULTI_FAMILY,Los Angeles County
90026-20738555,Listed for sale,1425000,856,Los Angeles,CA,90026,0,SINGLE_FAMILY,Los Angeles County
90015-95598718,Listed for sale,720000,774,Los Angeles,CA,90015,1,CONDO,Los Angeles County
